Time,Error,P,I-Accumulator,D,Output
1611013493820,2.879727382066016,5.759454764132032,0,0,1
1611013493820,2.879727382066016,5.759454764132032,0,0,1
1611013493821,2.878613746714776,5.757227493429552,0,0,1
1611013493821,2.878613746714776,5.757227493429552,0,0,1
1611013493822,2.8775001113635352,5.7550002227270705,0,0,1
1611013493822,2.8763864760122946,5.752772952024589,0,0,1
1611013493823,2.8763864760122946,5.752772952024589,0,0,1
1611013493823,2.875272840661054,5.750545681322108,0,0,1
1611013493823,2.8741592053098133,5.748318410619627,0,0,1
1611013493824,2.8741592053098133,5.748318410619627,0,0,1
1611013493824,2.8730455699585726,5.746091139917145,0,0,1
1611013493825,2.871931934607332,5.743863869214664,0,0,1
1611013493825,2.871931934607332,5.743863869214664,0,0,1
1611013493826,2.8708182992560918,5.7416365985121836,0,0,1
1611013493826,2.869704663904851,5.739409327809702,0,0,1
1611013493826,2.869704663904851,5.739409327809702,0,0,1
1611013493827,2.8685910285536105,5.737182057107221,0,0,1
1611013493827,2.8685910285536105,5.737182057107221,0,0,1
1611013493828,2.86747739320237,5.73495478640474,0,0,1
1611013493828,2.866363757851129,5.732727515702258,0,0,1
1611013493829,2.866363757851129,5.732727515702258,0,0,1
1611013493829,2.8652501224998885,5.730500244999777,0,0,1
1611013493829,2.864136487148648,5.728272974297296,0,0,1
1611013493830,2.864136487148648,5.728272974297296,0,0,1
1611013493830,2.8630228517974077,5.726045703594815,0,0,1
1611013493831,2.861909216446167,5.723818432892334,0,0,1
1611013493831,2.861909216446167,5.723818432892334,0,0,1
1611013493832,2.8607955810949264,5.721591162189853,0,0,1
1611013493832,2.8596819457436857,5.7193638914873715,0,0,1
1611013493833,2.8596819457436857,5.7193638914873715,0,0,1
1611013493833,2.858568310392445,5.71713662078489,0,0,1
1611013493833,2.8574546750412044,5.714909350082409,0,0,1
1611013493834,2.8574546750412044,5.714909350082409,0,0,1
1611013493834,2.856341039689964,5.712682079379928,0,0,1
1611013493835,2.855227404338723,5.710454808677446,0,0,1
1611013493835,2.855227404338723,5.710454808677446,0,0,1
1611013493836,2.854113768987483,5.708227537974966,0,0,1
1611013493836,2.8530001336362423,5.7060002672724845,0,0,1
1611013493836,2.8530001336362423,5.7060002672724845,0,0,1
1611013493837,2.8518864982850016,5.703772996570003,0,0,1
1611013493837,2.850772862933761,5.701545725867522,0,0,1
1611013493838,2.850772862933761,5.701545725867522,0,0,1
1611013493838,2.8496592275825203,5.699318455165041,0,0,1
1611013493839,2.8485455922312797,5.697091184462559,0,0,1
1611013493839,2.8485455922312797,5.697091184462559,0,0,1
1611013493839,2.847431956880039,5.694863913760078,0,0,1
1611013493840,2.847431956880039,5.694863913760078,0,0,1
1611013493840,2.846318321528799,5.692636643057598,0,0,1
1611013493841,2.845204686177558,5.690409372355116,0,0,1
1611013493841,2.845204686177558,5.690409372355116,0,0,1
1611013493842,2.8440910508263175,5.688182101652635,0,0,1
1611013493842,2.842977415475077,5.685954830950154,0,0,1
1611013493842,2.8418637801238362,5.6837275602476725,0,0,1
1611013493843,2.8418637801238362,5.6837275602476725,0,0,1
1611013493843,2.8407501447725956,5.681500289545191,0,0,1
1611013493844,2.839636509421355,5.67927301884271,0,0,1
1611013493844,2.839636509421355,5.67927301884271,0,0,1
1611013493845,2.8385228740701143,5.6770457481402286,0,0,1
1611013493845,2.837409238718874,5.674818477437748,0,0,1
1611013493845,2.837409238718874,5.674818477437748,0,0,1
1611013493846,2.8362956033676334,5.672591206735267,0,0,1
1611013493846,2.8351819680163928,5.6703639360327855,0,0,1
1611013493847,2.8351819680163928,5.6703639360327855,0,0,1
1611013493847,2.834068332665152,5.668136665330304,0,0,1
1611013493848,2.8329546973139115,5.665909394627823,0,0,1
1611013493848,2.8329546973139115,5.665909394627823,0,0,1
1611013493849,2.831841061962671,5.663682123925342,0,0,1
1611013493849,2.83072742661143,5.66145485322286,0,0,1
1611013493849,2.83072742661143,5.66145485322286,0,0,1
1611013493850,2.82961379126019,5.65922758252038,0,0,1
1611013493850,2.8285001559089493,5.657000311817899,0,0,1
1611013493851,2.8285001559089493,5.657000311817899,0,0,1
1611013493851,2.8273865205577087,5.654773041115417,0,0,1
1611013493852,2.826272885206468,5.652545770412936,0,0,1
1611013493852,2.826272885206468,5.652545770412936,0,0,1
1611013493852,2.8251592498552274,5.650318499710455,0,0,1
1611013493853,2.8240456145039867,5.6480912290079734,0,0,1
1611013493853,2.8240456145039867,5.6480912290079734,0,0,1
1611013493854,2.822931979152746,5.645863958305492,0,0,1
1611013493854,2.821818343801506,5.643636687603012,0,0,1
1611013493855,2.821818343801506,5.643636687603012,0,0,1
1611013493855,2.820704708450265,5.64140941690053,0,0,1
1611013493855,2.8195910730990246,5.639182146198049,0,0,1
1611013493856,2.818477437747784,5.636954875495568,0,0,1
1611013493856,2.818477437747784,5.636954875495568,0,0,1
