Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129021447,0.01222029192094673,0.02444058384189346,-0.020487475314416387,0,0.003953108527477073,-0.1392044189050737,-0.12698412698412698
1625129021458,0.01222029192094673,0.02444058384189346,-0.020426373854811653,0,0.004014209987081806,-0.1392044189050737,-0.12698412698412698
1625129021469,0.01222029192094673,0.02444058384189346,-0.02036527239520692,0,0.00407531144668654,-0.1392044189050737,-0.12698412698412698
1625129021480,0.01222029192094673,0.02444058384189346,-0.020304170935602186,0,0.004136412906291274,-0.1392044189050737,-0.12698412698412698
1625129021491,0.01222029192094673,0.02444058384189346,-0.020243069475997452,0,0.004197514365896007,-0.1392044189050737,-0.12698412698412698
1625129021502,0.01222029192094673,0.02444058384189346,-0.02018196801639272,0,0.004258615825500741,-0.1392044189050737,-0.12698412698412698
1625129021513,0.01222029192094673,0.02444058384189346,-0.020120866556787985,0,0.004319717285105475,-0.1392044189050737,-0.12698412698412698
1625129021524,0.01222029192094673,0.02444058384189346,-0.02005976509718325,0,0.004380818744710208,-0.1392044189050737,-0.12698412698412698
1625129021535,0.01222029192094673,0.02444058384189346,-0.019998663637578518,0,0.004441920204314942,-0.1392044189050737,-0.12698412698412698
1625129021546,0.01222029192094673,0.02444058384189346,-0.019937562177973784,0,0.004503021663919676,-0.1392044189050737,-0.12698412698412698
1625129021557,0.01222029192094673,0.02444058384189346,-0.01987646071836905,0,0.004564123123524409,-0.1392044189050737,-0.12698412698412698
1625129021568,0.01222029192094673,0.02444058384189346,-0.019815359258764317,0,0.004625224583129143,-0.1392044189050737,-0.12698412698412698
1625129021579,0.01222029192094673,0.02444058384189346,-0.019754257799159583,0,0.0046863260427338765,-0.1392044189050737,-0.12698412698412698
1625129021590,0.01222029192094673,0.02444058384189346,-0.01969315633955485,0,0.00474742750233861,-0.1392044189050737,-0.12698412698412698
1625129021601,0.01222029192094673,0.02444058384189346,-0.019632054879950116,0,0.004808528961943344,-0.1392044189050737,-0.12698412698412698
1625129021611,0.01222029192094673,0.02444058384189346,-0.019570953420345382,0,0.0048696304215480775,-0.1392044189050737,-0.12698412698412698
1625129021623,0.01222029192094673,0.02444058384189346,-0.01950985196074065,0,0.004930731881152811,-0.1392044189050737,-0.12698412698412698
1625129021634,0.01222029192094673,0.02444058384189346,-0.019448750501135915,0,0.004991833340757545,-0.1392044189050737,-0.12698412698412698
1625129021645,0.01222029192094673,0.02444058384189346,-0.01938764904153118,0,0.005052934800362278,-0.1392044189050737,-0.12698412698412698
1625129021656,0.01222029192094673,0.02444058384189346,-0.019326547581926447,0,0.005114036259967012,-0.1392044189050737,-0.12698412698412698
1625129021667,0.01222029192094673,0.02444058384189346,-0.019265446122321714,0,0.005175137719571746,-0.1392044189050737,-0.12698412698412698
1625129021678,0.01222029192094673,0.02444058384189346,-0.01920434466271698,0,0.005236239179176479,-0.1392044189050737,-0.12698412698412698
1625129021689,0.01222029192094673,0.02444058384189346,-0.019143243203112247,0,0.005297340638781213,-0.1392044189050737,-0.12698412698412698
1625129021700,0.01222029192094673,0.02444058384189346,-0.019082141743507513,0,0.005358442098385947,-0.1392044189050737,-0.12698412698412698
1625129021711,0.01222029192094673,0.02444058384189346,-0.01902104028390278,0,0.00541954355799068,-0.1392044189050737,-0.12698412698412698
1625129021722,0.01222029192094673,0.02444058384189346,-0.018959938824298046,0,0.005480645017595414,-0.1392044189050737,-0.12698412698412698
1625129021732,0.01222029192094673,0.02444058384189346,-0.018898837364693312,0,0.005541746477200148,-0.1392044189050737,-0.12698412698412698
1625129021744,0.01222029192094673,0.02444058384189346,-0.01883773590508858,0,0.005602847936804881,-0.1392044189050737,-0.12698412698412698
1625129021755,0.01222029192094673,0.02444058384189346,-0.018776634445483845,0,0.005663949396409615,-0.1392044189050737,-0.12698412698412698
1625129021766,0.01222029192094673,0.02444058384189346,-0.01871553298587911,0,0.005725050856014349,-0.1392044189050737,-0.12698412698412698
1625129021777,0.01222029192094673,0.02444058384189346,-0.018654431526274377,0,0.005786152315619082,-0.1392044189050737,-0.12698412698412698
1625129021788,0.01222029192094673,0.02444058384189346,-0.018593330066669644,0,0.005847253775223816,-0.1392044189050737,-0.12698412698412698
1625129021799,0.01222029192094673,0.02444058384189346,-0.01853222860706491,0,0.0059083552348285495,-0.1392044189050737,-0.12698412698412698
1625129021809,0.01222029192094673,0.02444058384189346,-0.018471127147460176,0,0.005969456694433283,-0.1392044189050737,-0.12698412698412698
1625129021820,0.01222029192094673,0.02444058384189346,-0.018410025687855443,0,0.006030558154038017,-0.1392044189050737,-0.12698412698412698
1625129021831,0.01222029192094673,0.02444058384189346,-0.01834892422825071,0,0.0060916596136427505,-0.1392044189050737,-0.12698412698412698
1625129021842,0.01222029192094673,0.02444058384189346,-0.018287822768645975,0,0.006152761073247484,-0.1392044189050737,-0.12698412698412698
1625129021853,0.01222029192094673,0.02444058384189346,-0.018226721309041242,0,0.006213862532852218,-0.1392044189050737,-0.12698412698412698
1625129021864,0.01222029192094673,0.02444058384189346,-0.018165619849436508,0,0.006274963992456951,-0.1392044189050737,-0.12698412698412698
1625129021876,0.01222029192094673,0.02444058384189346,-0.018104518389831774,0,0.006336065452061685,-0.1392044189050737,-0.12698412698412698
1625129021887,0.01222029192094673,0.02444058384189346,-0.01804341693022704,0,0.006397166911666419,-0.1392044189050737,-0.12698412698412698
1625129021897,0.01222029192094673,0.02444058384189346,-0.017982315470622307,0,0.006458268371271152,-0.1392044189050737,-0.12698412698412698
1625129021908,0.01222029192094673,0.02444058384189346,-0.017921214011017574,0,0.006519369830875886,-0.1392044189050737,-0.12698412698412698
1625129021919,0.01222029192094673,0.02444058384189346,-0.01786011255141284,0,0.00658047129048062,-0.1392044189050737,-0.12698412698412698
1625129021930,0.01222029192094673,0.02444058384189346,-0.017799011091808106,0,0.006641572750085353,-0.1392044189050737,-0.12698412698412698
1625129021941,0.01222029192094673,0.02444058384189346,-0.017737909632203373,0,0.006702674209690087,-0.1392044189050737,-0.12698412698412698
1625129021952,0.01222029192094673,0.02444058384189346,-0.01767680817259864,0,0.006763775669294821,-0.1392044189050737,-0.12698412698412698
1625129021963,0.01222029192094673,0.02444058384189346,-0.017615706712993905,0,0.006824877128899554,-0.1392044189050737,-0.12698412698412698
1625129021974,0.01222029192094673,0.02444058384189346,-0.01755460525338917,0,0.006885978588504288,-0.1392044189050737,-0.12698412698412698
1625129021985,0.01222029192094673,0.02444058384189346,-0.017493503793784438,0,0.0069470800481090215,-0.1392044189050737,-0.12698412698412698
1625129021996,0.01222029192094673,0.02444058384189346,-0.017432402334179704,0,0.007008181507713755,-0.1392044189050737,-0.12698412698412698
1625129022007,0.01222029192094673,0.02444058384189346,-0.01737130087457497,0,0.007069282967318489,-0.1392044189050737,-0.12698412698412698
1625129022018,0.01222029192094673,0.02444058384189346,-0.017310199414970237,0,0.0071303844269232225,-0.1392044189050737,-0.12698412698412698
1625129022029,0.01222029192094673,0.02444058384189346,-0.017249097955365503,0,0.007191485886527956,-0.1392044189050737,-0.12698412698412698
1625129022040,0.01222029192094673,0.02444058384189346,-0.01718799649576077,0,0.00725258734613269,-0.1392044189050737,-0.12698412698412698
1625129022051,0.01222029192094673,0.02444058384189346,-0.017126895036156036,0,0.0073136888057374234,-0.1392044189050737,-0.12698412698412698
1625129022062,0.01222029192094673,0.02444058384189346,-0.017065793576551302,0,0.007374790265342157,-0.1392044189050737,-0.12698412698412698
1625129022073,0.01222029192094673,0.02444058384189346,-0.01700469211694657,0,0.007435891724946891,-0.1392044189050737,-0.12698412698412698
1625129022084,0.01222029192094673,0.02444058384189346,-0.016943590657341835,0,0.007496993184551624,-0.1392044189050737,-0.12698412698412698
1625129022095,0.01222029192094673,0.02444058384189346,-0.0168824891977371,0,0.007558094644156358,-0.1392044189050737,-0.12698412698412698
1625129022106,0.01222029192094673,0.02444058384189346,-0.016821387738132368,0,0.007619196103761092,-0.1392044189050737,-0.12698412698412698
1625129022117,0.01222029192094673,0.02444058384189346,-0.016760286278527634,0,0.007680297563365825,-0.1392044189050737,-0.12698412698412698
1625129022128,0.01222029192094673,0.02444058384189346,-0.0166991848189229,0,0.007741399022970559,-0.1392044189050737,-0.12698412698412698
1625129022139,0.01222029192094673,0.02444058384189346,-0.016638083359318167,0,0.007802500482575293,-0.1392044189050737,-0.12698412698412698
1625129022150,0.01222029192094673,0.02444058384189346,-0.016576981899713433,0,0.007863601942180026,-0.1392044189050737,-0.12698412698412698
1625129022161,0.01222029192094673,0.02444058384189346,-0.0165158804401087,0,0.00792470340178476,-0.1392044189050737,-0.12698412698412698
1625129022172,0.01222029192094673,0.02444058384189346,-0.016454778980503966,0,0.007985804861389494,-0.1392044189050737,-0.12698412698412698
1625129022183,0.01222029192094673,0.02444058384189346,-0.016393677520899232,0,0.008046906320994227,-0.1392044189050737,-0.12698412698412698
1625129022194,0.01222029192094673,0.02444058384189346,-0.0163325760612945,0,0.008108007780598961,-0.1392044189050737,-0.12698412698412698
1625129022205,0.01222029192094673,0.02444058384189346,-0.016271474601689765,0,0.008169109240203695,-0.1392044189050737,-0.12698412698412698
1625129022216,0.01222029192094673,0.02444058384189346,-0.01621037314208503,0,0.008230210699808428,-0.1392044189050737,-0.12698412698412698
1625129022227,0.01222029192094673,0.02444058384189346,-0.016149271682480298,0,0.008291312159413162,-0.1392044189050737,-0.12698412698412698
1625129022238,0.01222029192094673,0.02444058384189346,-0.016088170222875564,0,0.008352413619017895,-0.1392044189050737,-0.12698412698412698
1625129022249,0.01222029192094673,0.02444058384189346,-0.01602706876327083,0,0.008413515078622629,-0.1392044189050737,-0.12698412698412698
1625129022260,0.01222029192094673,0.02444058384189346,-0.015965967303666097,0,0.008474616538227363,-0.1392044189050737,-0.12698412698412698
1625129022271,0.01222029192094673,0.02444058384189346,-0.015904865844061363,0,0.008535717997832096,-0.1392044189050737,-0.12698412698412698
1625129022282,0.01222029192094673,0.02444058384189346,-0.01584376438445663,0,0.00859681945743683,-0.1392044189050737,-0.12698412698412698
1625129022293,0.01222029192094673,0.02444058384189346,-0.015782662924851896,0,0.008657920917041564,-0.1392044189050737,-0.12698412698412698
1625129022304,0.01222029192094673,0.02444058384189346,-0.015721561465247162,0,0.008719022376646297,-0.1392044189050737,-0.12698412698412698
1625129022315,0.01222029192094673,0.02444058384189346,-0.01566046000564243,0,0.008780123836251031,-0.1392044189050737,-0.12698412698412698
1625129022326,0.01222029192094673,0.02444058384189346,-0.015599358546037695,0,0.008841225295855765,-0.1392044189050737,-0.12698412698412698
1625129022337,0.01222029192094673,0.02444058384189346,-0.015538257086432961,0,0.008902326755460498,-0.1392044189050737,-0.12698412698412698
1625129022348,0.01222029192094673,0.02444058384189346,-0.015477155626828228,0,0.008963428215065232,-0.1392044189050737,-0.12698412698412698
1625129022359,0.01222029192094673,0.02444058384189346,-0.015416054167223494,0,0.009024529674669966,-0.1392044189050737,-0.12698412698412698
1625129022370,0.01222029192094673,0.02444058384189346,-0.01535495270761876,0,0.0090856311342747,-0.1392044189050737,-0.12698412698412698
1625129022381,0.01222029192094673,0.02444058384189346,-0.015293851248014027,0,0.009146732593879433,-0.1392044189050737,-0.12698412698412698
1625129022392,0.01222029192094673,0.02444058384189346,-0.015232749788409293,0,0.009207834053484167,-0.1392044189050737,-0.12698412698412698
1625129022403,0.01222029192094673,0.02444058384189346,-0.01517164832880456,0,0.0092689355130889,-0.1392044189050737,-0.12698412698412698
1625129022415,0.01222029192094673,0.02444058384189346,-0.015110546869199826,0,0.009330036972693634,-0.1392044189050737,-0.12698412698412698
1625129022426,0.01222029192094673,0.02444058384189346,-0.015049445409595092,0,0.009391138432298368,-0.1392044189050737,-0.12698412698412698
1625129022437,0.01222029192094673,0.02444058384189346,-0.014988343949990358,0,0.009452239891903101,-0.1392044189050737,-0.12698412698412698
1625129022448,0.01222029192094673,0.02444058384189346,-0.014927242490385625,0,0.009513341351507835,-0.1392044189050737,-0.12698412698412698
1625129022459,0.01222029192094673,0.02444058384189346,-0.014866141030780891,0,0.009574442811112568,-0.1392044189050737,-0.12698412698412698
1625129022470,0.01222029192094673,0.02444058384189346,-0.014805039571176157,0,0.009635544270717302,-0.1392044189050737,-0.12698412698412698
1625129022481,0.01222029192094673,0.02444058384189346,-0.014743938111571424,0,0.009696645730322036,-0.1392044189050737,-0.12698412698412698
1625129022492,0.01222029192094673,0.02444058384189346,-0.01468283665196669,0,0.00975774718992677,-0.1392044189050737,-0.12698412698412698
1625129022503,0.01222029192094673,0.02444058384189346,-0.014621735192361957,0,0.009818848649531503,-0.1392044189050737,-0.12698412698412698
1625129022514,0.01222029192094673,0.02444058384189346,-0.014560633732757223,0,0.009879950109136237,-0.1392044189050737,-0.12698412698412698
1625129022525,0.01222029192094673,0.02444058384189346,-0.01449953227315249,0,0.00994105156874097,-0.1392044189050737,-0.12698412698412698
1625129022536,0.01222029192094673,0.02444058384189346,-0.014438430813547756,0,0.010002153028345704,-0.1392044189050737,-0.12698412698412698
1625129022547,0.01222029192094673,0.02444058384189346,-0.014377329353943022,0,0.010063254487950438,-0.1392044189050737,-0.12698412698412698
1625129022558,0.01222029192094673,0.02444058384189346,-0.014316227894338288,0,0.010124355947555171,-0.1392044189050737,-0.12698412698412698
1625129022569,0.01222029192094673,0.02444058384189346,-0.014255126434733555,0,0.010185457407159905,-0.1392044189050737,-0.12698412698412698
1625129022580,0.01222029192094673,0.02444058384189346,-0.014194024975128821,0,0.010246558866764639,-0.1392044189050737,-0.12698412698412698
1625129022591,0.01222029192094673,0.02444058384189346,-0.014132923515524087,0,0.010307660326369372,-0.1392044189050737,-0.12698412698412698
1625129022602,0.01222029192094673,0.02444058384189346,-0.014071822055919354,0,0.010368761785974106,-0.1392044189050737,-0.12698412698412698
1625129022614,0.01222029192094673,0.02444058384189346,-0.01401072059631462,0,0.01042986324557884,-0.1392044189050737,-0.12698412698412698
1625129022625,0.01222029192094673,0.02444058384189346,-0.013949619136709886,0,0.010490964705183573,-0.1392044189050737,-0.12698412698412698
1625129022636,0.01222029192094673,0.02444058384189346,-0.013888517677105153,0,0.010552066164788307,-0.1392044189050737,-0.12698412698412698
1625129022647,0.01222029192094673,0.02444058384189346,-0.013827416217500419,0,0.01061316762439304,-0.1392044189050737,-0.12698412698412698
1625129022658,0.01222029192094673,0.02444058384189346,-0.013766314757895685,0,0.010674269083997774,-0.1392044189050737,-0.12698412698412698
1625129022669,0.01222029192094673,0.02444058384189346,-0.013705213298290952,0,0.010735370543602508,-0.1392044189050737,-0.12698412698412698
1625129022680,0.01222029192094673,0.02444058384189346,-0.013644111838686218,0,0.010796472003207241,-0.1392044189050737,-0.12698412698412698
1625129022691,0.01222029192094673,0.02444058384189346,-0.013583010379081484,0,0.010857573462811975,-0.1392044189050737,-0.12698412698412698
1625129022702,0.01222029192094673,0.02444058384189346,-0.01352190891947675,0,0.010918674922416709,-0.1392044189050737,-0.12698412698412698
1625129022713,0.01222029192094673,0.02444058384189346,-0.013460807459872017,0,0.010979776382021442,-0.1392044189050737,-0.12698412698412698
1625129022724,0.01222029192094673,0.02444058384189346,-0.013399706000267284,0,0.011040877841626176,-0.1392044189050737,-0.12698412698412698
1625129022735,0.01222029192094673,0.02444058384189346,-0.01333860454066255,0,0.01110197930123091,-0.1392044189050737,-0.12698412698412698
1625129022746,0.01222029192094673,0.02444058384189346,-0.013277503081057816,0,0.011163080760835643,-0.1392044189050737,-0.12698412698412698
1625129022757,0.01222029192094673,0.02444058384189346,-0.013216401621453083,0,0.011224182220440377,-0.1392044189050737,-0.12698412698412698
1625129022768,0.01222029192094673,0.02444058384189346,-0.013155300161848349,0,0.01128528368004511,-0.1392044189050737,-0.12698412698412698
1625129022779,0.01222029192094673,0.02444058384189346,-0.013094198702243615,0,0.011346385139649844,-0.1392044189050737,-0.12698412698412698
1625129022790,0.01222029192094673,0.02444058384189346,-0.013033097242638882,0,0.011407486599254578,-0.1392044189050737,-0.12698412698412698
1625129022801,0.01222029192094673,0.02444058384189346,-0.012971995783034148,0,0.011468588058859312,-0.1392044189050737,-0.12698412698412698
1625129022812,0.01222029192094673,0.02444058384189346,-0.012910894323429414,0,0.011529689518464045,-0.1392044189050737,-0.12698412698412698
1625129022823,0.01222029192094673,0.02444058384189346,-0.01284979286382468,0,0.011590790978068779,-0.1392044189050737,-0.12698412698412698
1625129022834,0.01222029192094673,0.02444058384189346,-0.012788691404219947,0,0.011651892437673513,-0.1392044189050737,-0.12698412698412698
1625129022845,0.01222029192094673,0.02444058384189346,-0.012727589944615213,0,0.011712993897278246,-0.1392044189050737,-0.12698412698412698
1625129022856,0.01222029192094673,0.02444058384189346,-0.01266648848501048,0,0.01177409535688298,-0.1392044189050737,-0.12698412698412698
1625129022867,0.01222029192094673,0.02444058384189346,-0.012605387025405746,0,0.011835196816487713,-0.1392044189050737,-0.12698412698412698
1625129022878,0.01222029192094673,0.02444058384189346,-0.012544285565801012,0,0.011896298276092447,-0.1392044189050737,-0.12698412698412698
1625129022889,0.01222029192094673,0.02444058384189346,-0.012483184106196279,0,0.01195739973569718,-0.1392044189050737,-0.12698412698412698
1625129022900,0.01222029192094673,0.02444058384189346,-0.012422082646591545,0,0.012018501195301914,-0.1392044189050737,-0.12698412698412698
1625129022911,0.01222029192094673,0.02444058384189346,-0.012360981186986812,0,0.012079602654906648,-0.1392044189050737,-0.12698412698412698
1625129022922,0.01222029192094673,0.02444058384189346,-0.012299879727382078,0,0.012140704114511382,-0.1392044189050737,-0.12698412698412698
1625129022933,0.01222029192094673,0.02444058384189346,-0.012238778267777344,0,0.012201805574116115,-0.1392044189050737,-0.12698412698412698
1625129022944,0.01222029192094673,0.02444058384189346,-0.01217767680817261,0,0.012262907033720849,-0.1392044189050737,-0.12698412698412698
1625129022954,0.01222029192094673,0.02444058384189346,-0.012116575348567877,0,0.012324008493325583,-0.1392044189050737,-0.12698412698412698
1625129022966,0.01222029192094673,0.02444058384189346,-0.012055473888963143,0,0.012385109952930316,-0.1392044189050737,-0.12698412698412698
1625129022977,0.011106656569706164,0.022213313139412327,-0.011999940606114612,-0.022272707024811322,-0.012059334491513607,-0.13809078355383314,-0.12698412698412698
1625129022988,0.011106656569706164,0.022213313139412327,-0.011944407323266081,0,0.010268905816146246,-0.13809078355383314,-0.12698412698412698
1625129022999,0.011106656569706164,0.022213313139412327,-0.01188887404041755,0,0.010324439098994777,-0.13809078355383314,-0.12698412698412698
1625129023010,0.011106656569706164,0.022213313139412327,-0.01183334075756902,0,0.010379972381843308,-0.13809078355383314,-0.12698412698412698
1625129023021,0.011106656569706164,0.022213313139412327,-0.011777807474720488,0,0.01043550566469184,-0.13809078355383314,-0.12698412698412698
1625129023032,0.011106656569706164,0.022213313139412327,-0.011722274191871957,0,0.01049103894754037,-0.13809078355383314,-0.12698412698412698
1625129023043,0.011106656569706164,0.022213313139412327,-0.011666740909023426,0,0.010546572230388901,-0.13809078355383314,-0.12698412698412698
1625129023054,0.011106656569706164,0.022213313139412327,-0.011611207626174895,0,0.010602105513237432,-0.13809078355383314,-0.12698412698412698
1625129023065,0.011106656569706164,0.022213313139412327,-0.011555674343326364,0,0.010657638796085963,-0.13809078355383314,-0.12698412698412698
1625129023076,0.011106656569706164,0.022213313139412327,-0.011500141060477833,0,0.010713172078934494,-0.13809078355383314,-0.12698412698412698
1625129023087,0.011106656569706164,0.022213313139412327,-0.011444607777629302,0,0.010768705361783025,-0.13809078355383314,-0.12698412698412698
1625129023098,0.011106656569706164,0.022213313139412327,-0.011389074494780771,0,0.010824238644631556,-0.13809078355383314,-0.12698412698412698
1625129023109,0.011106656569706164,0.022213313139412327,-0.01133354121193224,0,0.010879771927480087,-0.13809078355383314,-0.12698412698412698
1625129023120,0.011106656569706164,0.022213313139412327,-0.011278007929083709,0,0.010935305210328618,-0.13809078355383314,-0.12698412698412698
1625129023131,0.011106656569706164,0.022213313139412327,-0.011222474646235178,0,0.01099083849317715,-0.13809078355383314,-0.12698412698412698
1625129023142,0.011106656569706164,0.022213313139412327,-0.011166941363386647,0,0.01104637177602568,-0.13809078355383314,-0.12698412698412698
1625129023153,0.011106656569706164,0.022213313139412327,-0.011111408080538116,0,0.011101905058874212,-0.13809078355383314,-0.12698412698412698
1625129023164,0.011106656569706164,0.022213313139412327,-0.011055874797689585,0,0.011157438341722743,-0.13809078355383314,-0.12698412698412698
